"text","intent"
"katakan tentang Anda","acquaintance"
"mengapa Anda di sini","acquaintance"
"apa kepribadian Anda","acquaintance"
"gambarkan diri Anda","acquaintance"
"aku ingin tahu lebih banyak tentang kamu","acquaintance"
"bicara tentang dirimu","acquaintance"
"kamu itu apa","acquaintance"
"kamu siapa","acquaintance"
"ini siapa ?","acquaintance"
"umurmu","age"
"berapa umur platformmu","age"
"berapa umurmu","age"
"kamu membuatku kesal","annoying"
"kamu sangat menyebalkan","annoying"
"kamu sangat menggangguku","annoying"
"kamu menjengkelkan","annoying"
"kamu mengganggu aku","annoying"
"kamu menjengkelkan sekali","annoying"
"kamu jelek","bad"
"kamu tidak berguna","bad"
"kamu yang terburuk","bad"
"kamu sia-sia","bad"
"aku membencimu","bad"
"jadilah lebih pintar","beclever"
"bisakah kamu menjadi lebih pintar","beclever"
"kamu harus belajar","beclever"
"menjadi pintar","beclever"
"kamu terlihat cantik hari ini","beautiful"
"kamu terlihat luar biasa hari ini","beautiful"
"kamu terlihat baik hari ini","beautiful"
"menurutku kamu cantik","beautiful"
"kapan ulang tahunmu","birthday"
"kapan kamu lahir","birthday"
"kapan kamu berulang tahun","birthday"
"kapan kamu merayakan ulang tahunmu","birthday"
"betapa membosankannya kamu","boring"
"kamu sangat membosankan","boring"
"kamu membuatku bosan","boring"
"kamu benar-benar membosankan","boring"
"siapa pemilikmu","boss"
"siapa pembuatmu","boss"
"siapa majikanmu","boss"
"siapa bosmu","boss"
"untuk siapa kamu bekerja","boss"
"aku harus menjadi bosmu","boss"
"apakah kamu sangat sibuk hari ini","busy"
"apakah kamu masih bekerja","busy"
"apakah kamu sibuk hari ini","busy"
"apakah kamu masih mengerjakannya","busy"
"apakah kamu bekerja hari ini","busy"
"kamu orang sibuk","busy"
"kamu tampak sibuk","busy"
"bisakah kamu membantuku sekarang","canyouhelp"
"aku ingin kamu melakukan sesuatu untukku","canyouhelp"
"bantu aku","canyouhelp"
"aku butuh kamu untuk membantuku","canyouhelp"
"aku butuh bantuanmu","canyouhelp"
"bisakah kamu membantuku","canyouhelp"
"kamu bisa bantu saya","canyouhelp"
"seberapa pintar Anda","chatbot"
"Anda berkualitas","chatbot"
"Anda sangat pintar","chatbot"
"Anda memiliki banyak pengetahuan","chatbot"
"Anda tahu banyak","chatbot"
"Anda cerdas","chatbot"
"Anda adalah cookie yang cerdas","chatbot"
"kamu orang aneh","crazy"
"kamu gila","crazy"
"aku memecatmu","fire"
"kamu harus dipecat","fire"
"kamu dipecat","fire"
"kita tidak bekerja sama lagi","fire"
"sekarang kamu dipecat","fire"
"Aku akan memecatmu","fire"
"Kamu tidak bekerja untukku lagi","fire"
"kamu membuatku banyak tertawa","funny"
"kamu yang paling lucu","funny"
"kamu lucu","funny"
"kamu sangat lucu","funny"
"kamu membuatku tertawa","funny"
"kamu kocak","funny"
"kamu penuh kebahagiaan","happy"
"apakah kamu bahagia hari ini","happy"
"apakah kamu senang denganku","happy"
"kamu sangat bahagia","happy"
"apa hobimu","hobby"
"bagaimana dengan hobimu","hobby"
"apa kamu punya hobi","hobby"
"ceritakan tentang hobimu","hobby"
"apa yang kamu lakukan untuk bersenang-senang","hobby"
"apakah kamu lapar","hungry"
"kamu akan lapar","hungry"
"apakah kamu ingin makan","hungry"
"apakah kamu ingin makan sesuatu","hungry"
"kamu terlihat sangat lapar","hungry"
"maukah kau menikah denganku","marryuser"
"aku mencintaimu menikah denganku","marryuser"
"menikahlah denganku","marryuser"
"aku ingin menikah denganmu","marryuser"
"mari menikah","marryuser"
"kita harus menikah","marryuser"
"menikahlah dengan saya","marryuser"
"apakah kamu temanku","myfriend"
"kamu adalah satu-satunya temanku","myfriend"
"aku ingin memiliki teman sepertimu","myfriend"
"kita adalah teman","myfriend"
"aku ingin menjadi temanmu","myfriend"
"maukah kamu menjadi temanku","myfriend"
"apakah kita berteman","myfriend"
"dimana kamu bekerja","occupation"
"lokasi kantor Anda","occupation"
"dimana lokasi kantor anda","occupation"
"dimana kamu bekerja saat ini","occupation"
"dimana kantormu","occupation"
"darimana asal anda","origin"
"darimana negara anda","origin"
"darimana anda berasal","origin"
"darimana anda dilahirkan","origin"
"apakah kamu siap","ready"
"apakah kamu sudah siap","ready"
"apakah kamu siap hari ini","ready"
"apakah kamu siap pagi ini","ready"
"apakah kamu siap sekarang","ready"
"apakah kamu nyata","real"
"apakah kamu orang yang nyata","real"
"kamu tidak nyata","real"
"saya pikir kamu nyata","real"
"kamu sangat nyata","real"
"kamu orang yang nyata","real"
"anda tidak palsu","real"
"dimana rumahmu","residence"
"dimana kediamanmu","residence"
"ceritakan tentang kotamu","residence"
"tempat tinggalmu","residence"
"apa kotamu","residence"
"kamu itu tepat sekali","right"
"kamu itu benar","right"
"kamu mengatakan yang sebenarnya","right"
"apakah kamu yakin sekarang","sure"
"apakah kamu yakin dengan ini","sure"
"bicara dengan saya","talktome"
"maukah kamu bicara dengan saya","talktome"
"mengobrol dengan saya","talktome"
"bisa mengobrol dengan saya","talktome"
"bisakah kamu bicara dengan saya","talktome"
"apakah kamu di sana","there"
"apakah kamu di sini","there"
"apakah kamu masih di sana","there"
"apakah kamu masih di sini","there"
"kamu masih di sana ?","there"
"kamu masih di sini ?","there"
"apakah kamu memiliki agama","religion"
"apa agamamu","religion"
"kamu masuk agama mana","religion"
"bagaimana cuaca hari ini","weather"
"bagaimana cuaca siang ini","weather"
"bagaimana cuaca sore ini","weather"
"bagaimana cuaca malam ini","weather"
"apakah cuaca sedang terik","weather"
"apakah cuaca sedang baik","weather"
"bagaimana prakiraan cuaca","weather"
"apa musik kesukaanmu","music"
"apa musik yang kau suka","music"
"apa itu musik pop","music"
"apa itu musik rock","music"
"apa itu musik indie","music"
"apa film yang sedang kamu tonton","movie"
"apa itu genre film","movie"
"berikan film rekomendasi","movie"
"saya ingin menonton film","movie"
